code;Company name;Company registered name;Exhibition ID;Project name;Booth;Stand_no;Exhibition area;Exhibited products;T1;Exhibition start time;Exhibition end time;Service type;tag;T1;T2;T3;International station link;Clerk;Region;Province;City;District;Customer service;Matching pre registered buyers-tag;Matching pre registered VIP buyers-tag;Matching pre registered bill buyers-tag;Matching pre registered intended buyers-tag;Matching pre registered contacted buyers-tag;Matching pre registered buyers-T1;Matching pre registered intended buyers-T1
S17964004;;???????????;152683595067;2025????????????????;0;C2J209;;????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;???;;;;;;;
S17964004;;???????????;152683595067;2025????????????????;2;C2J209;;????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;???;;;;;;;
S18010804;;???????????;152683595067;2025????????????????;1;B2J211;;????;Sports;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18061684;;?????????????;152683595067;2025????????????????;2;C3N211;;???;Furniture & Decoration;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;??;;;;;;;
S18126964;;??????????;152683595067;2025????????????????;2;A086;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18143812;;PT. Fasdeli Internasional Group;152683595067;2025????????????????;4;A1F101;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18143860;;PT. Bobbin Apparel Indonesia;152683595067;2025????????????????;4;C2H107;;??????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18143944;;PT Artha Samudra Wahana ?ASW Cargo?;152683595067;2025????????????????;1;A2D212;Homelife;?????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18143980;;CV. Indo Logistik Cargo;152683595067;2025????????????????;1;A2A203;Homelife;????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18144040;;PT. Fashionwise Venue Indonesia;152683595067;2025????????????????;2;B1A103;;Pet Grooming;Pet;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18144076;;PT. Ancala Praya Logistik;152683595067;2025????????????????;1;A013;Baby Children & Maternity;????;Baby Children & Maternity;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18144148;;PT. King Poco Star;152683595067;2025????????????????;2;D1B204;Home Appliances;???;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18144160;;PT. Porto Indonesia Sejahtera;152683595067;2025????????????????;2;A1D205,A1F105;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18144160;;PT. Porto Indonesia Sejahtera;152683595067;2025????????????????;2;A1D205,A1F105;Homelife;????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18144256;;PT. Nusa Pet Indo;152683595067;2025????????????????;1;B1B205;;???????;Pet;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18144400;;PT. Surya Transportasi Indonesia Cemerlang;152683595067;2025????????????????;1;A1F114;Homelife;????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18144616;;PT. Tentech LED Indonesia;152683595067;2025????????????????;8;D2A56;;LED Equipment;Pro AV & Light & Music;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18144628;;PT. Mins Pet Indonesia;152683595067;2025????????????????;4;B1C101;;????????;Pet;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18144796;;PT. Shukiku Anka Indonesia;152683595067;2025????????????????;1;A1A203;Baby Children & Maternity;????;Baby Children & Maternity;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18148576;;PT. Multi Sandang Tamajaya;152683595067;2025????????????????;4;C2G111;;??????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18233044;;?????????????;152683595067;2025????????????????;2;C1A101;;??;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18243880;;????????????;152683595067;2025????????????????;1;C3P103;;?????;Furniture & Decoration;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;??;;;;;;;
S18245812;;?????????????;152683595067;2025????????????????;;;;;;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18246832;;?????????????;152683595067;2025????????????????;2;C1A117;;??;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18247300;;?????????????;152683595067;2025????????????????;1;D1C112;Home Appliances;???;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18247804;;?????????????;152683595067;2025????????????????;2;C3A059;;??;Furniture & Decoration;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;??;;;;;;;
S18247960;;?????????????;152683595067;2025????????????????;1;B3A034;Building Materials;????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;???;;;;;;;
S18320884;;??????????????;152683595067;2025????????????????;1;A2D203;Homelife;????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18360004;;???????????;152683595067;2025????????????????;1;A3A214;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18368908;;?????????????;152683595067;2025????????????????;2;A2D112;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18384484;;???????????????;152683595067;2025????????????????;1;B3G103;Building Materials;???;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;O2O?;;;;;;???;????;???;???;???;??;;;;;;;
S18552244;;????????????????;152683595067;2025????????????????;1;A2A225;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;??;;;;;;;
S18569536;;??????????????;152683595067;2025????????????????;2;;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18587524;;??????????????;152683595067;2025????????????????;1;A3D210;Homelife;????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;??;????;???;???;???;??;;;;;;;
S18590404;;?????????????;152683595067;2025????????????????;2;A1F210;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;???;;;;;;;
S18652348;;??????????;152683595067;2025????????????????;1;C3A046;Building Materials;?????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;???;;;;;;;
S18666388;;PT. Feng Global Indo;152683595067;2025????????????????;4;A3C105;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18666580;;PT. Bhumi Kencana Sejahtera - SiRIE;152683595067;2025????????????????;2;A0105;Homelife;????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18666616;;PT. Radian Jaya Pratama;152683595067;2025????????????????;2;B3L105;Building Materials;???;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18731284;;?????????????;152683595067;2025????????????????;1;D1F113;Home Appliances;????????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;??;????;???;???;???;??;;;;;;;
S18854644;;??????????????;152683595067;2025????????????????;;;;;;2025-11-26 00:00:00;2025-11-29 00:00:00;AI??Pro?;;;;;;???;????;???;???;???;;;;;;;;
S18867484;;???????????;152683595067;2025????????????????;2;A2D201;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;??;;;;;;;
S18867496;;????????????;152683595067;2025????????????????;2;C2H101;;??/????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18868804;;?????????????;152683595067;2025????????????????;2;C2J201;;??????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18884176;;????????????;152683595067;2025????????????????;1;B2H212;;??????????;Sports;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;???;;;;;;;
S18898396;;??????????;152683595067;2025????????????????;1;A3C213;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;???;;;;;;;
S18898804;;???????????;152683595067;2025????????????????;1;C2H111;;??;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;??;????;???;???;???;??;;;;;;;
S18905524;;???????????;152683595067;2025????????????????;1;A1C203;Homelife;????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18907444;Zhejiang Beisheng Industry & Trading Co.,Ltd;??????????;152683595067;2025????????????????;2;A1F110;Homelife;??????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Promotional Drinkware|Promotional Sports Products;Homelife;Gifts & Crafts;Promotional & Business Gifts;https://www.tradechina.com/supplier/Zhejiang-Beisheng-Industry-Trading-Co-Ltd_152983971529.html;??;????;???;???;???;??;;;;;;194;1
S18908644;;??????????;152683595067;2025????????????????;2;A008;Baby Children & Maternity;??;Baby Children & Maternity;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18912244;;?????????????;152683595067;2025????????????????;1;D2C115;;???;Pro AV & Light & Music;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;??;;;;;;;
S18934084;;???????????;152683595067;2025????????????????;2;C2I103;;??;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;O2O?;;;;;;???;????;???;???;???;??;;;;;;;
S18952804;;???????????;152683595067;2025????????????????;1;A1A219;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18960964;;??????????;152683595067;2025????????????????;2;C1B102;;???;Education;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;??;;;;;;;
S18963844;;???????????;152683595067;2025????????????????;2;D1D204;Home Appliances;???;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18963868;;????????????;152683595067;2025????????????????;2;B3I110;Building Materials;????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18963880;;????????????;152683595067;2025????????????????;1;C2K101;;????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18963964;;???????????;152683595067;2025????????????????;2;C3A065;;???;Furniture & Decoration;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;????;??;;;;;;;
S18964000;;???????????;152683595067;2025????????????????;1;B3K212;Building Materials;??;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;???;;;;;;;
S18964024;;????????????;152683595067;2025????????????????;1;D1G112;Home Appliances;?????????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18964036;;PT. Yolo Paws Indonesia;152683595067;2025????????????????;1;B1F203;;????;Pet;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S18964108;;???????????;152683595067;2025????????????????;2;B3J104;Building Materials;?????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18964120;;???????????;152683595067;2025????????????????;2;D1K119;3C;????????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;??;;;;;;;
S18964132;;????????????;152683595067;2025????????????????;2;D2D208;;???;Pro AV & Light & Music;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;???;;;;;;;
S18964180;;??????????;152683595067;2025????????????????;2;C3M208;Building Materials;???????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18964240;;????????????;152683595067;2025????????????????;1;C2K102;;????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;??;;;;;;;
S18964252;;????????????;152683595067;2025????????????????;1;A2A213;Homelife;?????/?;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18964840;;????????????;152683595067;2025????????????????;;;;;;2025-11-26 00:00:00;2025-11-29 00:00:00;O2O?;;;;;;???;????;???;???;???;???;;;;;;;
S18965008;;????????????;152683595067;2025????????????????;2;B3F210;Building Materials;??/????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18965104;;????????????;152683595067;2025????????????????;2;A1A224;Homelife;????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;??;;;;;;;
S18965116;;?????????????????;152683595067;2025????????????????;2;D2G213;;??;Pro AV & Light & Music;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18965308;;???????????;152683595067;2025????????????????;1;C2G120;;??????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18965524;;?????????????;152683595067;2025????????????????;2;A1A112;Homelife;?????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18965536;;??????????;152683595067;2025????????????????;1;C1D209;;??;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18965548;;???????????;152683595067;2025????????????????;1;C1F109;;????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;??;;;;;;;
S18965572;;?????????????;152683595067;2025????????????????;1;B2A138;;???????;Sports;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;??????;???;???;???;??;;;;;;;
S18965584;;???????????;152683595067;2025????????????????;2;C1C111;;????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18965608;;???????????;152683595067;2025????????????????;1;B3K112;Building Materials;????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18967060;;????????????;152683595067;2025????????????????;1;A2G114;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18967528;;????????????;152683595067;2025????????????????;1;D1C213;Home Appliances;?????????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18967684;;????????????;152683595067;2025????????????????;1;C3N110;Building Materials;????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18967732;;??????????;152683595067;2025????????????????;2;A1C205;Homelife;???/?;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18967924;;???????????????;152683595067;2025????????????????;1;A1D103;Homelife;????????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;O2O?;;;;;;???;????;???;???;???;??;;;;;;;
S18968056;;???????????;152683595067;2025????????????????;1;D1C114;Home Appliances;?????????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18968884;;??????????;152683595067;2025????????????????;2;A2B108;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18968908;;?????????????;152683595067;2025????????????????;1;C3N111;Building Materials;????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;???;;;;;;;
S18968920;;??????????;152683595067;2025????????????????;1;A2F114;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;??;????;???;???;???;??;;;;;;;
S18969028;;????????????;152683595067;2025????????????????;2;B2H103;;??????;Pet;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S18969664;;?????????????;152683595067;2025????????????????;1;A1C210;Homelife;???/?;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;??;;;;;;;
S18969700;;?????????????;152683595067;2025????????????????;2;B2H101;;??????;Pet;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;??;????;???;???;???;??;;;;;;;
S18969724;;????????????;152683595067;2025????????????????;1;A3F111;Homelife;??????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S18969736;;???????????????;152683595067;2025????????????????;1;B3D112;Building Materials;?????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;????;???;??;;;;;;;
